"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\angular.json", "JSON", 114, 0, 0, 0, 0, 0, 0, 0, 21, 0, 135
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 6, 2, 32
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\e2e\tsconfig.json", "JSON with Comments", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 2, 2, 33
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package-lock.json", "JSON", 10569, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10570
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 1, 3, 43
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 80
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.html", "HTML", 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\auth\signup\signup.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 13, 46
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-dashboard\employee-dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 100, 0, 0, 9, 109
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-issue-detail\employee-issue-detail.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 9, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 103, 0, 3, 13, 119
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 3, 12, 46
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 63, 11, 97
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 54, 13, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 16, 11, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\issue-status.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\lane.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee.module.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 0, 43, 0, 4, 8, 55
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 5, 12, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.html", "HTML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 7, 68
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.html", "HTML", 0, 0, 0, 0, 0, 0, 126, 0, 0, 8, 134
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.html", "HTML", 0, 0, 0, 0, 0, 0, 74, 0, 1, 3, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.scss", "SCSS", 0, 0, 0, 0, 0, 115, 0, 0, 0, 17, 132
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
